gene_name,1cell_A.x,1cell_B.x,2cell_A.x,2cell_B.x,1cell_A.y,1cell_B.y,2cell_B.y,2cell_A.y
R06F6.8,509,927,355,145,101,90,36,49
ech-4,784,2546,963,310,72,84,70,60
lec-8,2,0,0,0,1,1,1,1
glo-1,0,0,0,2,1,1,1,3
R07B1.7,1,0,0,0,1,1,1,1
sru-40,0,1,0,0,1,1,1,1
lsy-12,698,1093,482,166,70,61,29,31
clh-6,264,393,257,82,51,58,34,40
R07B7.10,70,127,31,19,1,7,4,2
gana-1,1,13,4,4,2,3,2,1
nhr-206,1,20,0,3,1,1,1,1
nhr-207,13,34,4,1,1,1,3,1
nhr-208,0,5,0,0,1,1,1,1
R07B7.2,925,986,678,288,93,87,1,1
pqn-53,797,637,691,309,46,46,6,9
kmo-2,0,1,0,0,1,1,1,1
kmo-1,6,7,4,3,1,1,1,1
R07B7.8,52,165,75,24,8,8,13,9
R07B7.9,7,17,13,6,1,1,1,1
fbxc-27,0,1,0,0,1,1,1,1
fbxc-24,1,0,1,0,1,1,1,1
clec-44,1,0,0,0,1,1,1,1
fbxc-30,0,0,4,0,1,1,1,1
fbxc-36,177,236,151,37,16,3,1,3
fbxc-28,26,15,22,13,8,2,1,1
fbxc-29,9,13,10,1,1,2,1,3
fbxc-33,52,27,40,26,4,7,4,1
fbxc-31,1,1,0,0,1,1,1,1
R07D5.2,1,0,0,0,1,1,1,1
R07E3.2,4,22,9,6,1,1,1,1
R07E3.4,4,9,0,0,1,1,1,1
acl-5,351,332,273,134,17,16,1,2
R07E4.3,145,133,127,49,1,7,1,1
mig-23,312,467,269,108,10,35,12,8
R07E4.5,792,2410,824,302,87,58,101,124
kin-2,39,70,16,19,7,19,1,2
R07E5.1,846,1269,334,236,58,45,60,59
pdcd-2,176,141,106,67,11,11,1,2
R07E5.11,245,432,356,169,5,8,9,7
mpc-1,290,185,267,131,10,18,1,2
rnp-4,1898,3073,1800,667,103,84,124,72
R07E5.17,9,8,0,1,1,1,1,1
R07E5.19,105,164,108,36,9,4,4,10
prdx-3,1606,2347,1762,686,61,84,74,52
snfc-5,1048,2121,1247,368,81,75,104,104
R07E5.4,0,3,0,1,1,1,1,1
R07E5.7,1367,1005,945,616,59,55,4,11
cku-80,591,857,462,179,57,45,67,34
cdc-42,510,1374,570,158,63,116,41,41
lips-17,1,8,0,0,1,1,1,1
npp-21,3500,7481,2498,1146,535,506,399,340
pgam-5,2980,5115,2754,1050,132,103,50,72
R07G3.7,385,779,380,138,69,47,12,5
R07G3.8,0,1,1,0,1,2,1,1
oig-4,0,3,2,0,1,1,1,1
prx-14,1147,821,1006,417,81,73,1,5
zip-6,0,2,0,0,1,1,1,1
R07H5.11,0,2,0,0,1,1,1,1
R07H5.16,0,2,0,0,1,1,1,1
cpt-2,592,3209,738,181,103,84,88,93
nuaf-3,245,249,201,96,12,10,11,16
sdz-27,3,5,4,0,1,1,2,2
R07H5.8,2212,1891,1751,779,119,99,1,4
R08A2.7,4,1,0,1,1,1,1,1
grd-1,0,1,0,0,1,1,1,1
alr-1,7,16,2,7,1,4,1,1
R08B4.3,264,758,343,83,9,8,12,10
wapl-1,1855,5764,1670,510,231,200,288,230
R08C7.12,7,31,39,8,4,3,2,1
chat-1,1365,2580,1007,415,46,44,10,7
htz-1,8295,24477,9039,2259,226,208,187,158
